hossein,fekri,12,15,17,19,20,0,7,18,19,20
ali,aghaei,13,15,2,16,15,19,20,1,,16,19
mohsen,tanabande,12,15,16,13,1,0,19,20,18,14
kazem,ghalamchi,5,6,9,8,10,16,17,20,5,3
bahram,bahrami,15,12,10,4,6,13,17,19,20,12
behrooz,behroozi,16,10,15,13,15,14,2,20,19,3
amir,ghafor,20,15,19,14,4,9,8,12,16,17
sina,derakhshande,10,13,15,9,15,18,2,20,19,13
hasan,roshan,15,10,16,19,20,20,14,8,6,0
mohammad,alizadeh,19,18,17,12,2,0,20,16,12,11
eskandar,maghdoni,11,20,1,6,8,20,15,16,10,3
reza,pishravi,20,20,19,18,20,15,14,10,9,19
mahram,rashti,13,15,10,6,10,11,19,20,14,15
amin,rostami,11,12,15,20,19,13,2,14,2,0
Shahram,shokohi,19,20,0,15,17,11,14,9,8,12
shadmehr,aghili,20,20,20,20,19,18,20,20,19,19
ebi,tabrizi,11,2,0,15,18,20,19,16,13,10
korosh,kabiri,15,12,16,10,9,12,17,16,19,12
Ehsan,hosseini,15,13,11,9,8,17,16,12,14,20
ahmad,ghohari,20,0,19,16,12,11,5,18,6,20
salar,salari,16,14,15,12,10,19,8,7,15,20
sorena,satari,15,14,13,10,19,11,20,17,15,5
avesta,alborzi,11,1,15,17,19,20,5,10,8,9
ramin,azadi,16,20,11,14,10,18,16,10,2,10
alireza,ghorbani,20,15,10,19,16,15,17,13,11,9
mobin,nasiri,13,10,15,10,14,10,2,10,19,16
saeid,sadeghi,9,4,6,10,15,10,13,20,15,3
moein,zandi,16,10,15,16,17,18,13,10,9,12
mehdi,koshki,15,18,10,6,8,12,15,17,10,20
sadegh,pakdel,15,10,14,16,12,20,9,20,14,5
jalal,alahmad,15,14,17,19,10,12,10,5,20,3
bohlol,ardebili,15,12,14,16,11,12,20,9,6,10
masood,jahani,16,10,14,12,11,9,20,13,11,11
erfan,vafaee,20,19,20,18,17,20,16,20,14,10
majid,abasi,10,16,20,14,20,2,10,18,17,14
omid,shokri,14,16,20,17,16,13,10,8,6,15
Mehrdad,jam,18,17,16,10,14,15,16,10,2,20
hesam,navabi,12,15,14,19,20,14,16,9,8,10
iliya,abadi,18,15,14,19,6,20,13,11,5,10
ashkan,khorshidi,12,9,5,4,12,2,0,15,9,10
bardiya,saadat,20,0,20,14,16,18,17,9,13,14
benjamin,yazdani,15,10,0,17,16,0,18,19,20,14
babak,mafi,15,20,15,16,10,0,16,14,12,11
behnam,bani,12,15,10,9,10,7,16,10,12,11
pooya,vakili,12,10,14,7,15,14,12,10,16,20
khosro,heydari,15,10,12,13,17,7,10,15,20,0
daryoosh,arjmand,20,14,16,10,20,14,8,10,16,15
sirvan,khosravi,16,10,14,20,20,20,14,0,19,17
sadra,taheri,16,20,14,18,16,10,14,17,20,0
sobhan,khaghani,18,19,18,19,20,10,0,7,10,16
Shahab,teymori,15,12,14,16,12,10,2,15,9,0
zahra,nemati,14,10,15,12,10,10,2,10,19,20
Fatemeh,khorasani,14,15,10,16,15,10,2,10,8,7
reyhaneh,zanjani,15,10,2,10,2,13,0,20,16,12
homa,farsi,17,18,15,14,12,10,9,20,20,0
sara,semnani,10,12,11,9,7,5,20,10,2,0
mona,ghomi,8,10,6,10,13,20,20,18,15,11
azita,kermani,10,12,10,14,15,10,16,10,10,12
Nazanin,bayati,20,20,20,10,19,13,15,14,9,20
niloofar,lorestani,20,14,13,10,8,7,10,15,10,1
nastaran,yazdi,16,12,14,15,18,10,12,10,5,20
helen,salehi,20,15,14,13,10,15,8,10,16,20
asal,yosefi,20,15,16,10,14,15,8,9,20,6
ava,mohammadi,20,20,10,14,15,0,16,12,10,7
ghazal,karimi,15,16,14,10,20,2,10,16,11,18
hana,asadi,16,10,18,16,17,12,9,7,15,20
mersana,shekari,10,15,16,20,14,10,9,20,0,13
aseman,kashani,20,15,16,2,10,18,0,17,11,9
darya,mosavi,14,10,15,20,17,10,1,10,16,2
donya,ahmadi,12,10,14,10,2,5,9,10,20,3
baran,tahmasbi,14,15,12,17,19,12,10,15,20,10
ayda,nazeri,14,15,10,20,16,18,19,0,11,19
maedeh,arabi,10,15,20,20,14,10,0,5,20,20
negar,johari,20,10,15,16,20,17,18,16,20,0
negin,naseri,10,16,20,17,12,5,6,9,20,0
